clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0003.065_score6317.wav,3.065,103.8,6316.55,2365.41,18367,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/01_t0003.065_score6317.wav
02_t0011.853_score6603.wav,11.853,127.8,6602.89,3521.75,16138,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/02_t0011.853_score6603.wav
03_t0012.982_score6282.wav,12.982,91.8,6281.54,2866.22,16779,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/03_t0012.982_score6282.wav
04_t0013.270_score8125.wav,13.270,111.8,8124.69,5246.21,17158,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/04_t0013.270_score8125.wav
05_t0013.382_score7775.wav,13.382,143.7,7774.84,4528.46,17766,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/05_t0013.382_score7775.wav
06_t0013.657_score7062.wav,13.657,199.6,7061.58,3890.80,16809,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/06_t0013.657_score7062.wav
07_t0015.609_score6249.wav,15.609,119.8,6248.98,2586.15,17452,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/07_t0015.609_score6249.wav
08_t0015.792_score6832.wav,15.792,143.7,6831.51,2677.40,19449,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/08_t0015.792_score6832.wav
09_t0015.916_score6895.wav,15.916,151.7,6895.07,3747.26,16421,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/09_t0015.916_score6895.wav
10_t0016.231_score6764.wav,16.231,211.6,6763.61,3649.30,16160,/Users/castao/Desktop/KeyboardSoundApp/clock_scroll_candidates/freesound_community-analog-stopwatch-winding-72055/10_t0016.231_score6764.wav
